cid	text	author	votes	heart	paid	category	Entext	flair_sent_fast	flair_sent_en	pysent_sent	pysent_emot	pysent_hate	offense
UgzTqguwhOqOD0LF2Ex4AaABAg	പീറ്റർ ചേരാനല്ലൂർ ടീമിന്റെ ക്രിസ്തുമസ് ഗാനം  ഉഗ്രൻ മൊത്തത്തിൽ നല്ലത് അഭിനന്ദനങ്ങൾ	VINAYAN	2	False	None	Music	Christmas song by Peter Cheranallur Team Ugran overall good congrats	('POSITIVE', 0.9956473708152771)	('POSITIVE', 0.9974707365036011)	POS: 	joy: 	:	0
Ugzfw8yw0m30IOpBLNR4AaABAg	യേശുവേഞങ്ങൾ അങ്ങേ വാഴ്ത്തുന്നുസ്തുതിക്കുന്നുഅതിമനോഹരമായപാട്ട്ചെറുവത്തൂരിൽ സന്തോഷംനന്ദി	Aleyamma Mathew Modayil	1	False	None	Music	Jesus we bless you and praise you beautiful song thank you very much	('POSITIVE', 0.9958775043487549)	('POSITIVE', 0.9918659329414368)	POS: 	joy: 	:	0
UgxXcwWPbYbH7Gl7V4l4AaABAg	കലക്കി	joy  sebastian	1	True	None	Music	mixed up	('POSITIVE', 0.5589401125907898)	('NEGATIVE', 0.8743202686309814)	NEG: 	others: 	:	0
UgxJLJxFfJ4SiNChwZN4AaABAg	അമ്മേ നാരായണ ദേവി നാരായണ ലക്ഷ്മി നാരായണ ഭദ്രേ നാരായണ 	Malathy Melmullil	0	False	None	Music	Mother Narayana Devi Narayana Lakshmi Narayana Bhadre Narayana	('POSITIVE', 0.9748480916023254)	('POSITIVE', 0.8142524361610413)	NEU: 	others: 	:	0
UgzijDkzQmKHD_VdwYh4AaABAg.9boZhMLRc639bocSbwuknH	കളർ എന്താണ്	Dream Farm	1	True	None	Pets_and_Animals	What is the color?	('NEGATIVE', 0.6221709251403809)	('NEGATIVE', 0.9998002648353577)	NEU: 	others: 	:	0
UgyW8e54v7y1z2aIlQB4AaABAg	കാത്തിരിക്കുകയായിരുന്നു വീഡിയോ ഇടുന്നത് നോക്കി   പൊളിച്ചു മച്ചാനെ 	NITHIN CHACKO	13	True	None	Pets_and_Animals	I was waiting for the video to be uploaded and then I broke it down	('NEGATIVE', 0.9922170639038086)	('NEGATIVE', 0.9994175434112549)	NEU: 	others: 	:	0
Ugx4TGCE6mPNSsCKImF4AaABAg	ഈ ചേട്ടന്റെ വീട് എവിടെയാണ് ചേട്ടാ	ANIL AppUZz	1	True	None	Pets_and_Animals	Where is this dude's house dude?	('NEGATIVE', 0.6802678108215332)	('NEGATIVE', 0.5302330851554871)	NEG: 	others: 	targeted :  	0
UgyVYcjr15Fdxt5CfCh4AaABAg	അൽ പൊളി	Alankara Premi	79	True	None	Pets_and_Animals	Al Polli	('POSITIVE', 0.9209917187690735)	('NEGATIVE', 0.6704932451248169)	NEU: 	others: 	:	0
UgwwlXGw0FcHic2QFDt4AaABAg	കൊള്ളാം എല്ലാവിധ ആശംസകളും നേരുന്നു	Sunil kumar TS	9	True	None	Pets_and_Animals	Well done and all the best	('POSITIVE', 0.9970743656158447)	('POSITIVE', 0.9948580265045166)	POS: 	joy: 	:	0
UgxMjT3I9WYXYHSIbXh4AaABAg	നായ്ക്കളെ ഇത്രക്ക് സ്നേഹിക്കുന്ന ഒരു സ്ത്രീയെ ഞാൻ കണ്ടിട്ടില്ല എന്തൊരു കെയർ ആണ് ഇവർ	Siyad Shamz	174	True	None	Pets_and_Animals	I have never met a woman who loves dogs so much, what a care they are	('POSITIVE', 0.9939374923706055)	('POSITIVE', 0.9989633560180664)	POS: 	joy: 	:	0
Ugya4cbSJzU3ceCAQvZ4AaABAg	ഞങ്ങളുടെ നാട് കോളത്തോൾ 	Sanafar Babu	8	True	None	Pets_and_Animals	Our country is Kolthole	('POSITIVE', 0.8773231506347656)	('NEGATIVE', 0.8093059062957764)	NEG: 	disgust: 	hateful : 	0
UgwxNXDWmZm-PkT14tR4AaABAg	സമദിക്ക പൊളിയാണ്	anu manammal	4	True	None	Pets_and_Animals	Samadika is a ruin	('NEGATIVE', 0.982619047164917)	('NEGATIVE', 0.9999721050262451)	NEG: 	others:  	:	0
Ugy1Z4ZFuyl1Gdv2McJ4AaABAg	ഈ ഗപ്പിയെ വാങ്ങിയത് ഞാനാണ് നല്ല ക്വാളിറ്റിയുള്ള മിക്സഡ് ഗപ്പികൾ 	dilshu manoor	66	True	None	Pets_and_Animals	I bought this guppy for good quality mixed guppies	('POSITIVE', 0.8189142346382141)	('POSITIVE', 0.7475772500038147)	NEU:  	others: 	:	0
